N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"68,100",500,0.74%,100,"4,065,422","5,969,783",50.74,"16,116,308",11.79,13.92,
2,LG에너지솔루션,"410,000","1,500",0.37%,500,"959,400","234,000",2.95,"231,060",103.46,10.68,
3,SK하이닉스,"113,500","1,000",0.89%,"5,000","826,283","728,002",49.65,"3,536,393",8.61,16.84,
4,삼성바이오로직스,"793,000","27,000",3.52%,"2,500","564,410","71,174",10.31,"46,417",134.91,8.21,
5,삼성전자우,"60,600",700,1.17%,100,"498,669","822,887",72.31,"1,154,267",10.49,N/A,
6,NAVER,"276,500","1,000",0.36%,100,"453,596","164,049",53.7,"524,383",33.62,106.72,
7,삼성SDI,"603,000","12,000",2.03%,"5,000","414,650","68,765",43.14,"201,179",36.28,8.45,
8,현대차,"185,500",0,0.00%,"5,000","396,354","213,668",26.86,"537,913",10.39,6.84,
9,카카오,"82,600",600,-0.72%,100,"366,817","444,088",28.52,"1,196,233",26.37,17.1,
10,LG화학,"512,000","7,000",1.39%,"5,000","361,433","70,592",48.04,"168,432",10.92,18.47,
11,기아,"84,500",700,-0.82%,"5,000","342,532","405,363",35.88,"1,505,878",7.2,14.69,
12,POSCO홀딩스,"288,000",500,0.17%,"5,000","251,098","87,187",52.98,"193,365",3.79,13.97,
13,KB금융,"58,000",0,0.00%,"5,000","239,164","412,352",72.86,"962,022",5.47,9.8,
14,삼성물산,"116,000","1,500",-1.28%,100,"216,789","186,887",15.87,"190,057",13.37,5.4,
15,신한지주,"42,050",350,-0.83%,"5,000","215,689","512,934",62.67,"975,198",5.59,8.8,
16,셀트리온,"142,500",0,0.00%,"1,000","200,594","140,768",19.59,"536,317",34.83,15.81,
17,SK이노베이션,"208,000",0,0.00%,"5,000","192,328","92,466",24.15,"205,897",13.22,1.91,
18,현대모비스,"201,500","2,000",1.00%,"5,000","190,565","94,573",33.97,"196,865",8.12,6.87,
19,카카오뱅크,"39,400",600,-1.50%,"5,000","187,621","476,196",15.2,"723,921",84.37,4.91,
20,SK,"248,000","2,000",-0.80%,200,"183,890","74,149",21.52,"179,149",8.97,10.19,
21,LG전자,"107,000",500,-0.47%,"5,000","175,103","163,648",27.26,"828,624",18.76,6.32,
22,한국전력,"22,550",200,-0.88%,"5,000","144,763","641,964",14.67,"1,052,888",-2.72,-7.99,
23,HMM,"29,500",150,0.51%,"5,000","144,267","489,039",9.69,"2,541,166",1.51,88.62,
24,하나금융지주,"46,200",50,-0.11%,"5,000","136,707","295,903",72.43,"1,084,345",3.93,10.86,
25,삼성생명,"66,900",300,-0.45%,500,"133,800","200,000",12.92,"309,645",9.11,4.01,
26,SK텔레콤,"58,800","1,700",-2.81%,100,"128,674","218,833",48.59,"713,173",8.74,13.63,
27,두산에너빌리티,"19,850",700,-3.41%,"5,000","125,466","632,072",9.7,"4,828,307",19.35,10.67,
28,S-Oil,"110,000","3,000",-2.65%,"2,500","123,841","112,583",80.99,"363,515",9.3,21.76,
29,크래프톤,"247,500","7,500",3.13%,100,"121,453","49,072",28.67,"182,953",21.63,17.86,
30,삼성전기,"161,000",500,-0.31%,"5,000","120,257","74,694",27.51,"355,983",14,14.29,
31,LG,"75,200",100,-0.13%,"5,000","118,290","157,301",36.67,"196,530",4.85,12.36,
32,카카오페이,"89,200",500,0.56%,500,"118,173","132,481",42.52,"237,954",-450.51,-2.45,
33,KT&G,"84,200",300,0.36%,"5,000","115,600","137,292",38.3,"335,460",11.83,10.74,
34,삼성에스디에스,"145,000",0,0.00%,500,"112,198","77,378",12.9,"93,091",18.36,8.8,
35,우리금융지주,"14,900",800,-5.10%,"5,000","108,481","728,061",36.27,"8,900,460",4.17,10.59,
36,LG생활건강,"677,000","7,000",-1.02%,"5,000","105,735","15,618",37.36,"135,281",14.2,16.65,
37,고려아연,"557,000","5,000",0.91%,"5,000","105,106","18,870",19.95,"39,663",13.03,11.07,
38,현대중공업,"117,000","4,500",-3.70%,"5,000","103,865","88,773",6.02,"566,481",-10.97,-14.87,
39,대한항공,"29,450",550,1.90%,"5,000","102,433","347,821",13.29,"1,319,591",8.83,11.6,
40,포스코케미칼,"124,000",0,0.00%,500,"96,054","77,463",6.36,"309,128",70.33,7.92,
41,SK바이오사이언스,"125,000",0,0.00%,500,"95,980","76,784",4.33,"187,201",25.89,38.08,
42,엔씨소프트,"435,500","14,000",3.32%,500,"95,610","21,954",42.17,"138,910",24.09,12.62,
43,삼성화재,"201,500","1,500",0.75%,500,"95,460","47,375",49.26,"46,942",9.08,7.09,
44,KT,"36,250",300,-0.82%,"5,000","94,653","261,112",42.72,"840,417",6.98,9.36,
45,아모레퍼시픽,"156,000","1,000",-0.64%,500,"91,249","58,493",26.27,"336,581",55.6,4.2,
46,하이브,"220,000","1,000",0.46%,500,"90,977","41,353",15.33,"204,524",61.01,6.83,
47,SK아이이테크놀로지,"120,000","2,500",2.13%,"1,000","85,557","71,298",9.57,"185,506",86.15,5.57,
48,LG이노텍,"352,000","9,000",2.62%,"5,000","83,308","23,667",24.82,"281,318",9.38,30.94,
49,기업은행,"11,050",200,-1.78%,"5,000","82,245","744,301",14.74,"1,320,367",3.64,9.21,
50,현대글로비스,"209,500","1,500",0.72%,500,"78,562","37,500",44.68,"87,268",10.03,14.41,
51,SK바이오팜,"88,100",400,-0.45%,500,"68,994","78,313",6.05,"81,726",106.4,15.75,
52,롯데케미칼,"195,000","1,500",-0.76%,"5,000","66,837","34,275",24.39,"111,570",4.97,9.87,
53,넷마블,"76,600","2,800",3.79%,100,"65,840","85,954",22.63,"250,593",46.76,4.29,
54,SK스퀘어,"45,000",350,0.78%,100,"63,660","141,468",39.94,"440,180",2.79,N/A,
55,한국조선해양,"88,600","2,200",-2.42%,"5,000","62,705","70,773",20.56,"144,303",-6.75,-8.95,
56,LG디스플레이,"17,300",250,1.47%,"5,000","61,902","357,816",16.1,"1,783,656",5.22,9.68,
57,CJ제일제당,"407,500","6,500",1.62%,"5,000","61,346","15,054",22.64,"32,744",10.89,10.76,
58,한화솔루션,"31,150",0,0.00%,"5,000","59,583","191,278",18.25,"517,581",9.43,8.79,
59,강원랜드,"27,200",100,0.37%,500,"58,192","213,940",19.68,"506,612",-555.1,-0.33,
60,한온시스템,"10,900",100,-0.91%,100,"58,184","533,800",17.28,"472,240",18.86,13.83,
61,LG유플러스,"13,100",50,-0.38%,"5,000","57,196","436,611",37.58,"1,130,669",8.03,9.47,
62,맥쿼리인프라,"14,000",50,0.36%,0,"56,678","404,846",14.88,"651,027",N/A,N/A,
63,SKC,"148,000","5,500",3.86%,"5,000","56,045","37,868",14.77,"236,871",25.38,11.6,
64,F&F,"142,000","10,500",7.98%,100,"54,396","38,307",13.38,"308,261",15.61,N/A,
65,현대제철,"40,200",200,-0.50%,"5,000","53,645","133,446",20.44,"381,740",3.67,8.54,
66,코웨이,"72,500",300,0.42%,500,"53,505","73,800",61.26,"156,025",11.49,27.41,
67,삼성엔지니어링,"25,350","1,100",-4.16%,"5,000","49,686","196,000",41.19,"1,525,091",13.34,20.67,
68,에스디바이오센서,"48,000",500,1.05%,500,"49,570","103,271",12.93,"297,022",4.42,72.47,
69,삼성중공업,"5,550",60,-1.07%,"1,000","48,840","880,000",14.48,"3,329,039",-2.7,-36.89,
70,KODEX 200,"34,870",65,0.19%,0,"48,801","139,950",2.01,"3,168,202",N/A,N/A,
71,HD현대,"61,400",500,0.82%,"1,000","48,502","78,993",16.18,"230,886",-36.66,-1.99,
72,미래에셋증권,"7,840",20,-0.25%,"5,000","48,241","615,316",13.85,"784,904",5.38,11.66,
73,메리츠화재,"39,750","1,500",3.92%,500,"47,948","120,625",11.83,"305,331",7.27,26.12,
74,현대건설,"41,600",650,-1.54%,"5,000","46,324","111,356",23.69,"506,078",11.39,5.89,
75,한국항공우주,"47,300",550,-1.15%,"5,000","46,106","97,475",18.86,"679,214",72.1,5.19,
76,금호석유,"151,500","3,000",2.02%,"5,000","45,898","30,296",19.7,"128,214",2.58,47.76,
77,DB손해보험,"63,700",600,0.95%,500,"45,100","70,800",43.63,"138,895",5.19,13.38,
78,한국타이어앤테크놀로지,"36,150",100,-0.28%,500,"44,781","123,875",37.68,"422,889",7.49,7.69,
79,유한양행,"58,600",800,1.38%,"1,000","42,914","73,231",17.76,"170,359",42.49,5.45,
80,GS,"46,000","1,000",-2.13%,"5,000","42,741","92,915",19.88,"340,406",3.01,15.55,
81,팬오션,"7,970",50,0.63%,"1,000","42,605","534,570",15.05,"5,099,486",6.48,17.16,
82,메리츠금융지주,"31,700",650,2.09%,500,"41,543","131,051",6.94,"230,141",5.38,22.33,
83,일진머티리얼즈,"88,200","1,300",1.50%,500,"40,670","46,111",11.52,"377,656",64.81,7.85,
84,한국가스공사,"43,650","1,350",-3.00%,"5,000","40,295","92,313",10.56,"307,175",4.24,11.63,
85,메리츠증권,"5,930",30,0.51%,"1,000","39,126","659,791",12.34,"1,229,080",5.08,15.77,
86,쌍용C&E,"7,760",30,-0.39%,100,"39,100","503,860",3.22,"315,157",21.03,11.12,
87,삼성카드,"33,300",50,-0.15%,"5,000","38,581","115,859",7.34,"42,802",7,7.53,
88,한국금융지주,"69,200",100,0.14%,"5,000","38,562","55,726",33.54,"160,464",2.42,27.12,
89,두산밥캣,"37,550","1,900",-4.82%,500,"37,644","100,249",24.76,"1,231,925",9.76,9.19,
90,한진칼,"55,800",400,-0.71%,"2,500","37,253","66,761",14.67,"42,448",217.12,1.11,
91,오리온,"94,200","3,000",3.29%,500,"37,243","39,536",35.17,"318,619",14.45,12.75,
92,한미약품,"299,500",0,0.00%,"2,500","36,892","12,318",13.12,"21,924",55.05,8.75,
93,아모레G,"43,700",100,-0.23%,500,"36,034","82,458",15.17,"117,552",23.31,5.49,
94,롯데지주,"34,200",0,0.00%,200,"35,879","104,909",7.73,"108,078",11.74,4.61,
95,현대오토에버,"128,000",0,0.00%,500,"35,103","27,424",1.95,"77,942",47.37,7.26,
96,TIGER 차이나전기차SOLACTIVE,"13,435",60,0.45%,0,"34,044","253,400",0.44,"6,543,833",N/A,N/A,
97,삼성증권,"37,850",150,0.40%,"5,000","33,800","89,300",28.57,"258,044",3.5,16.94,
98,NH투자증권,"10,150",0,0.00%,"5,000","33,664","331,666",14.69,"460,623",3.31,14.77,
99,현대차2우B,"91,900",600,-0.65%,"5,000","33,530","36,485",60.91,"64,350",5.15,N/A,
100,이마트,"119,500","7,500",-5.91%,"5,000","33,312","27,876",28.77,"346,515",2.12,16.25,
101,DB하이텍,"74,200","1,800",2.49%,"5,000","32,944","44,399",22.52,"1,126,558",7.72,33.35,
102,GS건설,"38,400","1,000",-2.54%,"5,000","32,863","85,581",27.66,"885,212",8.01,9.32,
103,BGF리테일,"187,000","6,000",-3.11%,"1,000","32,321","17,284",31.22,"64,127",21.89,19.61,
104,한미사이언스,"46,800",300,-0.64%,500,"32,116","68,624",1.66,"78,181",74.76,6.37,
105,현대미포조선,"77,900","2,000",-2.50%,"5,000","31,115","39,942",11.73,"242,481",-19.48,-7.11,
106,KCC,"342,500","1,000",-0.29%,"5,000","30,436","8,886",9.53,"46,163",-66.48,-0.92,
107,CJ대한통운,"132,500","1,000",0.76%,"5,000","30,226","22,812",18.58,"38,025",55.21,1.59,
108,한솔케미칼,"264,500","1,000",-0.38%,"5,000","29,982","11,335",35.83,"132,964",20.25,23.88,
109,호텔신라,"75,500",300,0.40%,"5,000","29,632","39,248",12.9,"195,710",111.52,4.51,
110,한화시스템,"15,450",0,0.00%,"5,000","29,188","188,919",3.21,"320,287",24.52,6.04,
111,제일기획,"24,950",50,0.20%,200,"28,703","115,041",31.47,"134,616",17.35,15.58,
112,한전기술,"74,800","1,600",-2.09%,200,"28,589","38,220",2.04,"328,161",173.95,3.25,
113,롯데쇼핑,"101,000",0,0.00%,"5,000","28,572","28,289",11.25,"59,132",-9.78,-2.94,
114,포스코인터내셔널,"22,950",800,-3.37%,"5,000","28,315","123,375",7.74,"572,095",6.61,10.86,
115,현대해상,"31,050",100,0.32%,500,"27,759","89,400",29.09,"402,182",6.42,8.82,
116,GS리테일,"26,100",100,0.38%,"1,000","27,331","104,718",6.75,"201,083",2.91,25.58,
117,에스원,"71,600",800,1.13%,500,"27,207","37,999",53.03,"69,076",21.09,9.13,
118,동서,"26,700",50,-0.19%,500,"26,620","99,700",2.95,"41,480",23.48,8.05,
119,대한전선,"2,110",30,-1.40%,100,"26,258","1,244,473",1.77,"30,659,137",70.33,7.78,
120,한화에어로스페이스,"51,600",700,-1.34%,"5,000","26,125","50,630",21.8,"261,031",10.34,9.21,
121,OCI,"109,000",500,-0.46%,"5,000","25,996","23,849",15.51,"192,564",3.49,23.93,
122,하이트진로,"36,800",150,-0.41%,"5,000","25,809","70,134",9.58,"265,754",32.89,6.62,
123,대우건설,"6,170",70,-1.12%,"5,000","25,644","415,623",11.25,"1,026,483",5.29,16.47,
124,만도,"54,600",300,0.55%,"1,000","25,639","46,957",19.21,"254,409",15.34,9.31,
125,신세계,"256,000","3,000",-1.16%,"5,000","25,204","9,845",26.79,"65,289",8.21,8.54,
126,BNK금융지주,"7,720",30,-0.39%,"5,000","25,162","325,935",39.58,"690,532",3.18,8.76,
127,CJ,"83,100",0,0.00%,"5,000","24,246","29,177",17.5,"41,657",10.78,5.66,
128,두산퓨얼셀,"36,950",200,0.54%,100,"24,200","65,494",14.33,"389,555",348.58,1.69,
129,키움증권,"87,100",500,-0.57%,"5,000","22,837","26,220",24.62,"48,013",2.65,25.38,
130,대우조선해양,"21,100",350,-1.63%,"5,000","22,638","107,291",3.9,"477,924",-1.33,-55.86,
131,현대차우,"91,700",100,-0.11%,"5,000","22,335","24,357",57.15,"13,184",5.14,N/A,
132,영원무역,"50,400","1,850",3.81%,500,"22,333","44,311",28.55,"159,356",7.49,14.71,
133,KODEX 레버리지,"18,405",75,0.41%,0,"22,325","121,300",2.33,"21,487,017",N/A,N/A,
134,SK케미칼,"126,000","3,500",-2.70%,"5,000","22,202","17,621",18.66,"49,261",14.79,11.19,
135,후성,"23,950",250,1.05%,500,"22,179","92,607",8.56,"8,143,666",98.16,9.61,
136,한화생명,"2,520",25,-0.98%,"5,000","21,887","868,530",7.09,"2,147,825",1.84,10.79,
137,롯데정밀화학,"82,900",400,-0.48%,"5,000","21,388","25,800",20.02,"139,729",3.65,30.43,
138,녹십자,"181,000","1,000",-0.55%,"5,000","21,153","11,687",22.47,"17,896",17.17,10.3,
139,한화,"28,200",50,-0.18%,"5,000","21,138","74,959",15.76,"200,446",3.06,20.22,
140,효성첨단소재,"466,000","4,500",0.98%,"5,000","20,877","4,480",6.37,"14,334",8.33,54.69,
141,씨에스윈드,"48,400",100,-0.21%,500,"20,411","42,171",10.86,"176,800",30.23,10.13,
142,TIGER 미국나스닥100,"70,965",595,0.85%,0,"20,331","28,650",0.1,"158,301",N/A,N/A,
143,솔루스첨단소재,"66,000","2,000",3.13%,100,"20,189","30,590",5.52,"162,994",228.37,4,
144,현대로템,"18,300",150,-0.81%,"5,000","19,973","109,142",4.56,"317,755",30.05,5.01,
145,LG화학우,"252,500","3,000",1.20%,"5,000","19,414","7,689",70.74,"7,261",5.39,N/A,
146,대웅제약,"167,500","3,000",1.82%,"2,500","19,408","11,587",7.62,"36,106",78.71,4.39,
147,DL이앤씨,"50,100","1,300",-2.53%,"5,000","19,386","38,694",20.46,"328,580",3.7,N/A,
148,KODEX 단기채권PLUS,"103,885",0,0.00%,0,"19,303","18,581",0,"1,208,658",N/A,N/A,
149,휠라홀딩스,"31,550",550,1.77%,"1,000","19,167","60,752",38.1,"473,030",8.47,16.2,
150,LS,"59,400","1,200",-1.98%,"5,000","19,127","32,200",12.7,"61,152",6.89,8.15,
151,코오롱인더,"67,600","2,800",4.32%,"5,000","18,603","27,519",18.47,"385,411",10.67,8.2,
152,KODEX 200선물인버스2X,"2,655",10,-0.38%,0,"18,351","691,200",4.01,"137,862,699",N/A,N/A,
153,현대백화점,"78,100","1,000",1.30%,"5,000","18,277","23,402",19.15,"82,859",9.65,4.36,
154,현대위아,"66,500",700,1.06%,"5,000","18,085","27,195",7.18,"159,730",29.01,1.96,
155,TIGER 200,"34,935",85,0.24%,0,"18,061","51,700",0,"554,050",N/A,N/A,
156,TIGER 단기통안채,"100,850",0,0.00%,0,"17,896","17,745",0.66,"3,217,747",N/A,N/A,
157,효성,"82,600",400,-0.48%,"5,000","17,405","21,071",6.49,"18,942",3.97,18.04,
158,JB금융지주,"8,820",50,-0.56%,"5,000","17,374","196,983",41.95,"340,851",3.43,12.8,
159,KG스틸,"17,250",400,-2.27%,"5,000","17,252","100,009",0.8,"2,992,375",9.04,17.99,
160,대웅,"29,200",100,-0.34%,500,"16,977","58,142",4.57,"42,067",21.55,11.13,
161,롯데칠성,"182,500","7,000",-3.69%,500,"16,934","9,279",10.61,"43,955",11.68,9.96,
162,동국제강,"17,650",250,-1.40%,"5,000","16,844","95,433",21.63,"492,992",3.06,23.41,
163,농심,"274,000","3,500",-1.26%,"5,000","16,666","6,083",12.32,"46,264",16.7,4.73,
164,동원시스템즈,"57,000",300,-0.52%,"5,000","16,637","29,188",13.05,"17,479",38.49,6.95,
165,대덕전자,"33,050","2,100",6.79%,500,"16,332","49,417",15.89,"3,969,887",27,9.55,
166,LIG넥스원,"74,100","1,100",-1.46%,"5,000","16,302","22,000",9.92,"213,322",12.85,14.63,
167,한전KPS,"36,200",750,-2.03%,200,"16,290","45,000",5.48,"217,918",16.51,9.12,
168,오뚜기,"443,000","5,500",-1.23%,"5,000","16,267","3,672",12.16,"3,338",12.57,8.91,
169,한샘,"69,000",0,0.00%,"1,000","16,238","23,534",14.13,"49,790",29.03,9.1,
170,TIGER 미국S&P500,"12,995",90,0.70%,0,"16,120","124,050",0.41,"1,651,497",N/A,N/A,
171,효성티앤씨,"370,500","6,500",-1.72%,"5,000","16,034","4,328",10.09,"18,184",2.08,76.22,
172,코스모신소재,"51,900",900,1.76%,"1,000","15,615","30,087",7.94,"840,000",85.93,9.42,
173,일진하이솔루스,"42,600",800,1.91%,500,"15,469","36,313",2.2,"126,575",150,4.97,
174,신풍제약,"28,600",450,-1.55%,500,"15,154","52,985",6.07,"308,640",-136.19,-3.19,
175,KODEX 단기채권,"103,410",0,0.00%,0,"14,925","14,433",0,"555,090",N/A,N/A,
176,한미반도체,"15,050",550,3.79%,100,"14,887","98,920",5.6,"804,700",14.36,34.59,
177,LX인터내셔널,"38,250",600,-1.54%,"5,000","14,826","38,760",24.13,"272,795",4.23,22.49,
178,DGB금융지주,"8,740",70,0.81%,"5,000","14,783","169,146",49.39,"328,356",2.94,9.63,
179,아이에스동서,"47,850","1,950",-3.92%,500,"14,782","30,893",4.71,"78,066",14.08,8.69,
180,ESR켄달스퀘어리츠,"6,800",50,-0.73%,"1,000","14,490","213,089",53.28,"192,387",48.57,1.34,
181,LS ELECTRIC,"48,100","1,750",-3.51%,"5,000","14,430","30,000",14.75,"82,991",17.03,5.86,
182,KODEX 삼성그룹,"8,970",45,0.50%,0,"14,289","159,300",0.1,"300,949",N/A,N/A,
183,현대엘리베이,"34,700",600,-1.70%,"5,000","14,163","40,815",30,"83,275",12.52,10.62,
184,롯데리츠,"5,820",10,0.17%,500,"14,141","242,969",9.37,"166,311",76.58,1.59,
185,KODEX 종합채권(AA-이상)액티브,"103,135",90,-0.09%,0,"14,079","13,651",0.01,545,N/A,N/A,
186,롯데렌탈,"38,200",300,0.79%,"5,000","13,994","36,634",4.6,"83,373",10.37,12.28,
187,TIGER 미국필라델피아반도체나스닥,"10,375",265,2.62%,0,"13,975","134,700",0.84,"1,614,886",N/A,N/A,
188,아시아나항공,"18,650",200,-1.06%,"5,000","13,878","74,412",7.85,"288,261",-3.83,-47.21,
189,에스엘,"29,150",550,-1.85%,500,"13,540","46,449",14.27,"322,109",14.57,6.63,
190,KODEX 2차전지산업,"19,665",250,1.29%,0,"13,313","67,700",0.71,"1,852,886",N/A,N/A,
191,한국앤컴퍼니,"14,000",150,-1.06%,500,"13,291","94,935",9.79,"41,390",6.71,5.53,
192,한일시멘트,"19,150",350,1.86%,500,"13,264","69,262",3.25,"77,372",16.87,5.89,
193,TIGER 2차전지테마,"20,370",325,1.62%,0,"13,169","64,650",0.98,"1,914,950",N/A,N/A,
194,DL,"62,500",900,-1.42%,"5,000","13,097","20,956",11.82,"37,689",1.51,26.52,
195,PI첨단소재,"44,400",250,0.57%,500,"13,039","29,366",10.22,"79,346",20.38,21.03,
196,TIGER MSCI Korea TR,"14,230",60,0.42%,0,"13,035","91,600",4.8,661,N/A,N/A,
197,두산,"78,600","4,000",-4.84%,"5,000","12,988","16,524",11.3,"223,340",7.95,11.08,
198,TIGER 미국테크TOP10 INDXX,"10,425",90,0.87%,0,"12,896","123,700",0.44,"626,876",N/A,N/A,
199,삼성 레버리지 WTI원유 선물 ETN,"2,550",75,-2.86%,0,"12,852","504,000",0,"861,386",N/A,N/A,
200,일동제약,"47,700","1,100",2.36%,"1,000","12,785","26,803",1.82,"3,599,638",-11.39,-48.94,
